id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
NGC2627,129.309000,-29.952000,8.40,11.00,,,,,,
NGC2640,129.352600,-55.123742,,3.98,1.17,104,,PGC24229,,
NGC2591,129.356371,78.026436,12.80,2.09,5.00,35,,PGC24231,,
NGC2620,129.367542,24.946690,14.80,1.36,3.84,95,,PGC24233,,
NGC2619,129.386229,28.705204,12.72,1.21,1.72,35,,PGC24235,,
NGC2621,129.404062,24.999780,15.40,0.48,1.35,175,,PGC24241,,
NGC2624,129.540136,19.725682,14.50,0.48,1.32,45,,PGC24264,,
NGC2622,129.545576,24.895276,14.12,0.72,1.56,40,,PGC24269,,
NGC2625,129.596771,19.716381,15.10,0.36,1.51,10,,PGC24285,,
NGC2623,129.600067,25.754525,13.36,0.61,1.35,20,,PGC24288,,
NGC2635,129.619000,-34.777000,11.20,3.00,,,,,,
IC2387,129.641583,30.798715,14.80,0.76,2.77,15,,PGC24299,,
IC2388,129.985495,19.645288,15.70,0.36,1.61,140,,PGC24365,,
IC2391,130.292000,-52.991000,2.50,50.00,,,,,,
NGC2628,130.094599,23.539645,14.10,0.79,1.19,30,,PGC24381,,
NGC2632,130.054000,19.621000,3.10,95.00,,,Beehive Cluster,,,M44
IC519,130.143378,2.611338,15.40,0.44,1.22,115,,PGC24389,,
NGC2642,130.184897,-4.121679,12.60,1.05,1.61,115,,PGC24395,,
IC511,130.210246,73.486764,14.50,0.87,2.38,140,,PGC24397,,
NGC2637,130.305971,19.691139,15.05,0.26,1.32,25,,PGC24409,,
NGC2644,130.382961,4.980261,13.40,0.93,2.18,20,,PGC24425,,
NGC2643,130.465570,19.702507,15.60,0.46,1.72,25,,PGC24434,,
IC2390,130.465570,19.702507,15.60,0.46,1.72,25,,PGC24434,,
NGC2638,130.607360,37.221073,13.70,1.12,3.13,70,,PGC24453,,
IC2395,130.531000,-48.090000,4.60,8.00,,,,,,
NGC2659,130.634000,-44.999000,8.60,3.00,,,,,,
NGC2660,130.667000,-47.201000,8.80,4.00,,,,,,
NGC2648,130.665837,14.285617,11.82,1.72,2.63,150,,PGC24464,,
NGC2647,130.679611,19.650622,15.00,0.46,1.35,35,,PGC24463,,
NGC2614,130.700181,72.976555,14.00,1.11,1.22,130,,PGC24473,,
NGC2658,130.868000,-32.662000,9.20,12.00,,,,,,
NGC2639,130.908618,50.205539,11.65,1.62,1.32,140,,PGC24506,,
NGC2651,130.979777,11.770981,15.50,0.37,1.13,115,,PGC24521,,
NGC2649,131.034439,34.717283,13.10,0.95,1.28,100,,PGC24531,,
IC2392,131.128285,18.286088,14.60,0.46,1.56,170,,PGC24559,,
NGC2663,131.283935,-33.794740,12.33,3.72,1.48,111,,PGC24590,,
NGC2657,131.315950,9.645528,14.00,0.69,1.47,140,,PGC24595,,
IC499,131.322404,85.740107,13.50,1.19,1.72,80,,PGC24602,,
NGC2670,131.386000,-48.801000,7.80,9.00,,,,,,
NGC2662,131.383476,-15.121166,15.00,0.79,1.14,45,,PGC24612,,
NGC2630,131.395602,72.999133,15.20,1.05,5.54,25,,PGC24614,,
NGC2661,131.498224,12.619861,13.90,0.58,1.11,5,,PGC24632,,
NGC2665,131.504115,-19.302907,12.90,1.13,1.56,50,,PGC24634,,
NGC2671,131.557000,-41.886000,11.60,4.00,,,,,,
NGC2669,131.611000,-52.931000,6.10,12.00,,,,,,
IC2398,131.685763,17.754918,14.80,0.33,1.47,5,,PGC24664,,
IC2393,131.704973,28.171307,14.60,0.78,1.28,35,,PGC24669,,
NGC2631,131.395602,72.999133,15.20,1.05,5.54,25,,PGC24614,,
IC2394,131.778808,28.236547,15.20,0.65,1.92,140,,PGC24678,,
NGC2629,131.815739,72.985649,12.80,1.05,1.32,95,,PGC24682,,
IC2399,131.957063,18.911881,15.60,0.32,2.09,75,,PGC24709,,
NGC2656,131.971212,53.876174,15.00,0.63,1.25,70,,PGC24707,,
NGC2641,131.989653,72.895747,15.00,0.59,1.06,165,,PGC24722,,
IC2389,131.990805,73.539254,13.20,0.57,2.38,125,,PGC24711,,
IC2402,131.996020,31.785661,14.99,0.51,1.09,140,,PGC24720,,
IC2400,131.996486,38.069753,15.00,0.45,1.85,110,,PGC24714,,
NGC2633,132.019283,74.098620,12.40,1.24,2.17,160,,PGC24723,,
IC2406,132.019244,17.702403,14.40,0.74,2.00,170,,PGC24721,,
IC2407,132.038115,17.611414,15.10,0.80,3.84,85,,PGC24726,,
IC2401,132.042895,37.755385,15.00,0.61,1.25,110,,PGC24728,,
IC2404,132.043563,29.491369,14.72,0.42,1.14,105,,PGC24725,,
NGC2636,132.102304,73.671160,14.40,0.42,1.06,125,,PGC24747,,
IC2409,132.102725,18.331142,14.40,0.57,1.19,110,,PGC24748,,
NGC2667,132.113556,19.019488,14.80,0.60,2.63,80,,PGC24741,,
IC2410,132.113556,19.019488,14.80,0.60,2.63,80,,PGC24741,,
IC2411,132.125750,19.043850,15.40,0.54,2.78,45,,PGC24755,,
NGC2634,132.105687,73.967190,12.60,0.88,1.09,80,,PGC24749,,
IC2405,132.178164,37.218626,14.80,0.44,1.31,0,,PGC24766,,
NGC2654,132.299255,60.221213,12.80,4.17,5.15,63,,PGC24784,,
NGC2672,132.341194,19.074989,13.10,1.54,1.39,95,,PGC24790,,
NGC2668,132.343981,36.710338,14.90,0.80,2.00,150,,PGC24791,,
NGC2673,132.350781,19.074310,14.40,1.23,1.41,167,,PGC24792,,
IC2414,132.458808,18.792436,15.70,0.38,1.32,25,,PGC24811,,
NGC2650,132.493337,70.299430,14.30,1.04,1.61,75,,PGC24817,,
NGC2677,132.505540,19.009767,15.20,0.48,1.92,175,,PGC24821,,
NGC2646,132.591539,73.462978,13.00,0.90,1.09,40,,PGC24838,,
IC2417,132.783960,+18.625167,14.50,,,,,,,
NGC2682,132.846000,11.814000,6.90,30.00,,,,,,M67
IC2418,132.854497,17.945252,,0.38,1.19,146,,PGC1545976,,
NGC2679,132.887258,30.865337,14.30,0.97,1.28,155,,PGC24884,,
NGC2680,132.889583,30.865556,14.00,0.16,1.41,,,,,
IC2420,132.890662,3.100696,15.10,0.45,1.09,40,,PGC24883,,
NGC2676,132.898518,47.557696,14.30,0.58,1.14,5,,PGC24881,,
NGC2675,133.020668,53.617333,13.26,0.71,1.32,80,,PGC24909,,
NGC2690,133.158510,-2.603205,14.10,1.30,3.57,20,,PGC24926,,
NGC2683,133.172110,33.421833,9.79,8.71,3.39,44,,PGC24930,,
IC523,133.297184,9.148148,15.00,0.46,1.32,100,,PGC24948,,
NGC2714,133.374171,-59.217083,,1.03,1.09,60,,PGC24959,,
NGC2681,133.386326,51.313655,10.29,2.12,1.19,5,,PGC24961,,
IC520,133.426030,73.490950,11.90,1.31,1.16,170,,PGC24970,,
IC2421,133.589988,32.680852,14.90,0.46,1.35,0,,PGC24996,,
IC2422,133.601317,20.224785,15.60,0.35,1.43,130,,PGC24998,,
NGC2695,133.612810,-3.066943,13.30,1.23,1.43,170,,PGC25003,,
IC522,133.645514,57.166718,13.97,0.75,1.16,165,,PGC25009,,
NGC2691,133.692929,39.538795,14.10,0.73,1.51,175,,PGC25020,,
IC2423,133.696185,20.220260,14.70,0.61,1.47,100,,PGC25021,,
NGC2684,133.725187,49.160405,13.40,0.83,1.32,50,,PGC25024,,
NGC2653,133.731660,+78.393333,,,,,,,,
NGC2697,133.747491,-2.987592,13.60,0.88,1.43,125,,PGC25029,,
NGC2686,133.745492,49.142389,17.12,0.71,2.50,80,,PGC25026,,
NGC2687,133.770971,49.156490,17.00,0.23,2.09,36,,PGC25031,,
NGC2688,133.798359,49.122628,16.00,0.25,1.35,95,,PGC25048,,
NGC2689,133.814796,49.151178,17.45,0.20,1.16,105,,PGC25042,,
NGC2685,133.894595,58.734410,12.70,4.47,2.09,38,Helix Galaxy,PGC25065,,
NGC2698,133.902062,-3.183994,13.20,1.29,2.18,95,,PGC25067,,
NGC2655,133.907213,78.223083,11.08,4.57,1.62,16,,PGC25069,,
NGC2699,133.953271,-3.127660,13.60,0.80,1.16,40,,PGC25075,,
NGC2708,134.033633,-3.360135,12.60,1.67,2.38,20,,PGC25097,,
NGC2706,134.050700,-2.561000,13.80,1.37,3.85,170,,PGC25102,,
NGC2709,134.053584,-3.243059,14.80,0.54,1.47,90,,PGC25103,,
NGC2704,134.198745,39.382209,14.40,0.69,1.35,115,,PGC25134,,
NGC2692,134.241695,52.065950,14.18,1.06,2.63,165,,PGC25142,,
NGC2694,134.246915,51.331954,15.50,0.38,1.35,175,,PGC25143,,
NGC2693,134.246925,51.347427,11.88,1.26,1.35,155,,PGC25144,,
NGC2717,134.254571,-24.673750,13.21,1.28,1.22,10,,PGC25146,,
NGC2713,134.335458,2.921364,12.90,1.84,2.08,110,,PGC25161,,
NGC2711,134.348338,17.288021,14.60,0.39,1.32,105,,PGC25164,,
NGC2716,134.399469,3.090260,13.70,0.95,1.19,25,,PGC25172,,
IC2426,134.626997,2.925487,15.10,0.39,1.78,110,,PGC25208,,
NGC2722,134.692408,-3.710150,13.50,0.75,1.47,70,,PGC25221,,
NGC2718,134.710285,6.292994,14.24,1.24,1.92,145,,PGC25225,,
NGC2721,134.735542,-4.901913,13.10,0.95,1.43,150,,PGC25231,,
NGC2701,134.773978,53.771559,12.30,1.03,1.35,30,,PGC25237,,
NGC2720,134.783605,11.149229,14.20,0.78,1.06,45,,PGC25238,,
NGC2712,134.877023,44.913911,12.30,1.49,1.79,10,,PGC25248,,
NGC2710,134.951529,55.706298,13.66,0.80,1.39,125,,PGC25258,,
NGC2723,135.059846,3.177760,14.50,0.66,1.09,35,,PGC25280,,
NGC2736,135.050000,-45.950000,,7.00,,,,,,
NGC2719,135.065550,35.727562,13.70,0.87,5.01,130,,PGC25281,,
IC2427,135.257126,37.875480,15.70,0.45,1.14,90,,PGC25330,,
NGC2724,135.257704,35.761975,13.50,0.45,2.17,25,,PGC25331,,
NGC2725,135.263442,11.098386,14.10,0.50,1.22,5,,PGC25332,,
IC525,135.343721,-1.854094,14.90,0.62,2.78,5,,PGC25344,,
NGC2729,135.369232,3.720592,14.00,0.61,1.28,0,,PGC25352,,
NGC2728,135.420568,11.082953,14.90,0.42,1.52,45,,PGC25360,,
NGC2731,135.535000,8.301100,14.20,0.66,1.56,65,,PGC25376,,
NGC2730,135.565996,16.838197,13.70,0.79,1.72,50,,PGC25384,,
IC526,135.669860,10.841489,14.70,0.42,1.52,40,,PGC25401,,
NGC2735,135.661041,25.934494,14.20,0.94,2.95,95,,PGC25399,,
NGC2734,135.756697,16.863600,17.71,0.43,1.22,70,,PGC25413,,
IC2428,135.811229,30.591282,14.70,1.21,4.17,75,,PGC25423,,
IC2429,135.927108,29.295950,14.61,0.46,1.93,150,,PGC25446,,
IC512,135.957063,85.501672,13.20,0.90,1.11,115,,PGC25451,,
NGC2737,135.998840,21.906563,14.80,0.85,2.63,60,,PGC25453,,
NGC2738,136.001970,21.967593,13.80,1.08,2.38,50,,PGC25454,,
IC2430,136.095158,27.952961,14.40,0.47,1.62,40,,PGC25467,,
IC2431,136.147417,14.595444,14.30,0.50,1.67,40,,PGC25476,,
NGC2744,136.162507,18.464407,13.70,0.73,1.79,120,,PGC25480,,
NGC2745,136.163870,18.257351,15.50,0.35,1.56,165,,PGC25478,,
IC2432,136.164774,5.512055,15.50,0.40,1.85,135,,PGC25479,,
NGC2743,136.225004,25.004053,14.30,0.89,1.67,100,,PGC25496,,
NGC2726,136.236555,59.933003,13.10,1.12,2.63,90,,PGC25498,,
NGC2754,136.296784,-19.084734,15.23,0.42,1.22,145,,PGC25504,,
NGC2747,136.326421,18.442197,15.50,0.43,1.85,170,,PGC25507,,
NGC2749,136.338916,18.313083,13.30,1.21,1.22,65,,PGC25508,,
IC2433,136.369719,22.602227,15.40,0.56,2.38,110,,PGC25514,,
NGC2758,136.380003,-19.042694,13.99,0.44,1.61,25,,PGC25515,,
NGC2751,136.384987,18.262288,15.10,0.45,1.02,0,,PGC25517,,
IC2437,136.387995,-19.207003,13.68,1.08,1.67,120,,PGC25518,,
NGC2752,136.429498,18.339565,14.80,1.49,5.01,60,,PGC25523,,
NGC2750,136.449554,25.437364,12.70,1.12,1.67,95,,PGC25525,,
NGC2746,136.497689,35.377383,14.40,1.05,1.16,55,,PGC25533,,
NGC2739,136.511788,51.744687,15.50,0.45,2.38,95,,PGC25530,,
NGC2740,136.520756,51.735293,15.10,0.40,1.22,65,,PGC25531,,
NGC2763,136.704444,-15.499868,12.30,0.92,1.16,95,,PGC25570,,
IC2435,136.707442,26.275452,15.20,0.62,1.92,115,,PGC25571,,
IC2448,136.776330,-69.941859,11.10,0.10,1.04,150,,,,
NGC2753,136.784288,25.342353,14.80,0.58,1.28,15,,PGC25603,,
IC2434,136.817979,37.215431,14.50,0.75,1.39,20,,PGC25609,,
NGC2761,136.878500,18.435000,14.80,0.55,1.67,155,,PGC25638,,
NGC2765,136.902664,3.392908,13.30,1.30,2.18,105,,PGC25646,,
NGC2772,136.924454,-23.621453,14.19,1.23,3.33,170,,PGC25654,,
NGC2755,136.992941,41.708928,14.20,0.76,1.67,120,,PGC25670,,
NGC2715,137.025854,78.085341,11.90,4.27,3.03,20,,PGC25676,,
NGC2764,137.072927,21.443335,13.90,1.09,2.38,10,,PGC25690,,
NGC2759,137.155410,37.621572,14.20,0.93,1.51,60,,PGC25718,,
IC2439,137.160225,32.592936,16.06,0.82,3.56,30,,PGC25719,,
NGC2766,137.198047,29.864756,14.60,0.89,2.63,125,,PGC25735,,
NGC2756,137.253835,53.849535,13.20,1.02,1.52,175,,PGC25757,,
NGC2788,137.262375,-67.932533,13.26,1.25,3.57,115,,PGC25761,,
IC528,137.343992,15.796149,15.14,0.67,2.27,160,,PGC25783,,
NGC2770,137.390092,33.123414,12.10,1.97,3.85,145,,PGC25806,,
IC527,137.424120,37.601586,14.60,0.81,1.28,80,,PGC25821,,
NGC2773,137.434000,7.173700,14.50,0.49,1.67,85,,PGC25825,,
NGC2762,137.477234,50.418256,15.70,0.32,1.39,0,,PGC25828,,
NGC2742,136.889894,60.479394,12.00,2.11,1.92,85,,PGC25640,,
NGC2767,137.549518,50.401305,14.40,0.63,1.35,175,,PGC25852,,
NGC2775,137.583889,7.038021,10.48,2.46,1.32,160,,PGC25861,,
NGC2769,137.633926,50.433247,13.80,1.46,3.84,145,,PGC25870,,
NGC2774,137.666345,18.696589,14.80,0.81,1.04,,,PGC25879,,
NGC2771,137.665265,50.379809,14.00,0.97,1.72,55,,PGC25875,,
NGC2777,137.674529,7.206700,13.90,0.43,1.39,160,,PGC25876,,
NGC2781,137.864649,-14.816720,12.50,1.45,1.92,80,,PGC25907,,
IC2443,137.878724,28.826594,14.21,0.52,1.22,15,,PGC25908,,
NGC2768,137.906267,60.037208,9.87,6.76,2.29,93,,PGC25915,,
NGC2808,138.012917,-64.863500,6.30,13.80,,,,,,
NGC2776,138.060546,44.954894,11.69,1.15,1.09,15,,PGC25946,,
NGC2784,138.081237,-24.172600,10.16,6.17,2.24,72,,PGC25950,,
NGC2778,138.101559,35.027539,13.10,0.95,1.28,45,,PGC25955,,
NGC2792,138.110671,-42.427478,11.80,0.20,1.11,165,,,,
NGC2779,138.117879,35.053759,15.50,0.37,1.25,170,,PGC25958,,
NGC2780,138.184961,34.925479,14.20,0.75,1.43,140,,PGC25967,,
IC2444,138.211897,30.212282,15.10,0.42,1.22,140,,PGC25969,,
IC2445,138.303008,31.809289,15.20,0.59,3.33,20,,PGC25985,,
NGC2732,138.352883,79.187264,12.60,1.48,2.94,70,,PGC25999,,
IC2446,138.380663,28.951718,13.64,0.86,2.00,145,,PGC26002,,
NGC2783,138.414486,29.992945,13.90,1.26,1.79,165,,PGC26013,,
NGC2748,138.429321,76.475342,11.70,1.67,2.50,40,,PGC26018,,
NGC2836,138.437374,-69.333067,12.64,2.19,2.35,111,,PGC26017,,
NGC2822,138.460370,-69.645000,12.01,3.63,1.51,94,,PGC26026,,
NGC2782,138.521200,40.113700,11.63,1.38,1.19,30,,PGC26034,,
IC2438,138.539160,+73.415278,,,,,,,,
NGC2789,138.748597,29.730257,13.06,0.70,1.35,20,,PGC26089,,
NGC2791,138.758366,17.592266,15.60,0.53,2.27,155,,PGC26088,,
NGC2790,138.761579,19.697116,14.70,0.40,1.16,70,,PGC26092,,
NGC2785,138.813922,40.917478,14.90,1.26,3.13,120,,PGC26100,,
IC530,138.820708,11.885665,14.30,1.09,3.58,85,,PGC26101,,
NGC2842,138.901650,-63.069678,13.28,1.23,1.47,100,,PGC26114,,
IC2451,138.949086,23.496427,15.70,0.48,1.35,95,,PGC26119,,
IC2453,138.977225,20.928849,15.50,0.54,1.73,50,,PGC26131,,
IC2452,138.989961,23.472307,15.60,0.57,2.27,130,,PGC26129,,
NGC2818,139.044000,-36.624000,8.20,9.00,,,,,,
IC2454,139.007364,17.820700,14.40,0.46,1.11,110,,PGC26139,,
NGC2794,139.007466,17.589814,14.00,0.69,1.04,65,,PGC26140,,
NGC2795,139.016352,17.628354,14.10,0.95,1.25,170,,PGC26143,,
NGC2811,139.046202,-16.312735,12.66,2.08,2.63,20,,PGC26151,,
NGC2815,139.082285,-23.633259,11.84,1.74,2.27,15,,PGC26157,,
NGC2797,139.090345,17.727224,14.30,0.48,1.14,40,,PGC26160,,
NGC2802,139.172609,18.963458,14.30,0.59,1.52,125,,PGC26177,,
NGC2796,139.174372,30.915389,14.60,0.96,1.52,80,,PGC26178,,
NGC2803,139.182785,18.954588,14.30,0.62,1.11,95,,PGC26181,,
NGC2801,139.184149,19.935725,15.40,0.54,1.78,50,,PGC26183,,
NGC2793,139.190008,34.431808,13.90,1.12,1.20,,,PGC26189,,
NGC2821,139.199865,-26.816305,13.87,1.23,3.33,105,,PGC26192,,
NGC2804,139.208364,20.198505,14.00,0.98,1.22,65,,PGC26196,,
NGC2806,139.240332,20.029031,15.10,0.41,1.35,70,,PGC26212,,
NGC2807,139.252718,20.036465,15.10,0.52,1.61,165,,PGC26213,,
IC2457,139.267221,20.093481,14.00,0.35,1.22,45,,PGC1616119,,
NGC2809,139.278833,20.069685,13.90,0.74,1.04,165,,PGC26220,,
NGC2817,139.293875,-4.752077,13.30,0.68,1.22,170,,PGC26223,,
NGC2798,139.345300,42.000000,12.32,2.57,2.95,160,,PGC26232,,
NGC2799,139.379186,41.994054,13.71,0.90,3.57,125,,PGC26238,,
NGC2812,139.419946,19.918876,15.40,0.49,3.12,155,,PGC26242,,
NGC2813,139.439364,19.906593,15.40,0.64,1.39,140,,PGC26252,,
IC531,139.461666,-0.278370,14.44,0.71,3.13,65,,PGC26258,,
NGC2835,139.470218,-22.354678,11.03,6.76,1.62,2,,PGC26259,,
NGC2819,139.538713,16.198078,14.30,0.75,1.25,55,,PGC26274,,
NGC2837,139.597545,-16.481806,14.00,0.30,,,,,,
IC529,139.636612,73.759322,12.00,1.30,2.00,135,,PGC26295,,
NGC2800,139.646517,52.514581,14.00,0.84,1.14,10,,PGC26302,,
NGC2845,139.652966,-38.010101,13.67,1.67,1.56,65,,PGC26306,,
NGC2824,139.759240,26.269999,14.30,0.55,1.25,165,,PGC26330,,
NGC2823,139.822727,34.008175,15.70,0.64,2.08,35,,PGC26340,PGC26339,
NGC2827,139.829174,33.880786,15.60,0.60,2.38,5,,PGC26342,,
NGC2787,139.827519,69.203231,11.79,2.53,1.67,110,,PGC26341,,
NGC2825,139.843476,33.742761,15.30,0.71,2.78,85,,PGC26345,,
NGC2849,139.850000,-40.520000,12.50,3.20,,,,,,
NGC2826,139.850659,33.624018,14.60,0.99,3.85,140,,PGC26346,,
NGC2829,139.876261,33.648456,17.11,0.21,1.09,60,,PGC26356,,
NGC2828,139.895122,33.888082,15.70,0.45,2.00,45,,PGC26365,,
NGC2830,139.922430,33.738071,15.40,0.90,3.57,110,,PGC26371,,
NGC2831,139.939516,33.745003,14.70,0.79,1.00,,,PGC26376,,
NGC2832,139.945219,33.749742,13.17,1.35,1.22,175,,PGC26377,,
IC2461,139.991792,37.191047,15.10,1.20,3.85,140,,PGC26390,,
NGC2833,139.991030,33.927419,15.60,0.62,2.28,165,,PGC26389,,
NGC2834,140.010439,33.710474,15.60,0.40,1.28,45,,PGC26400,,
NGC2847,140.035830,-16.517778,15.00,0.40,,,,,,
NGC2848,140.041166,-16.525830,12.20,1.03,1.51,40,,PGC26404,,
NGC2805,140.084955,64.102977,11.90,4.68,1.26,151,,PGC26410,,
NGC2843,140.119908,18.926200,,0.40,1.92,60,,PGC26414,,
NGC2851,140.125873,-16.495269,15.00,0.90,2.00,10,,PGC26422,,
NGC2839,140.151379,33.650703,15.30,0.57,1.06,165,,PGC26425,,
NGC2838,140.179272,39.315728,14.70,0.67,1.25,140,,PGC26434,,
NGC2840,140.219670,35.368284,14.80,0.73,1.85,105,,PGC26445,,
NGC2850,140.237566,-4.939997,14.75,0.55,1.35,30,,PGC26452,,
NGC2814,140.298021,64.253258,14.00,1.00,3.57,0,,PGC26469,,
IC534,140.314329,3.151017,15.10,0.46,2.38,150,,PGC26471,,
NGC2867,140.355764,-58.311285,10.30,0.20,1.01,-42,,,,
NGC2855,140.364540,-11.909538,12.23,1.86,1.32,115,,PGC26483,,
IC2458,140.375549,64.238824,14.90,0.49,2.95,10,,PGC26485,,
NGC2820,140.439850,64.258019,13.10,1.87,5.01,65,,PGC26498,,
NGC2844,140.450071,40.151242,13.60,0.92,1.92,10,,PGC26501,,
NGC2841,140.511158,50.976594,9.22,8.13,2.04,147,,PGC26512,,
NGC2810,140.518756,71.844017,13.40,0.95,1.14,140,,PGC26514,,
IC535,140.567595,-1.040350,15.60,0.38,1.02,0,,PGC26524,,
NGC2858,140.729197,3.156941,13.80,0.89,1.79,110,,PGC26556,,
IC2463,140.751049,22.618551,15.70,0.34,1.19,160,,PGC26557,,
IC2469,140.754120,-32.449685,12.00,6.31,4.78,38,,PGC26561,,
NGC2852,140.810841,40.163822,14.00,0.53,1.11,150,,PGC26571,,
NGC2853,140.822334,40.200048,14.60,0.59,1.85,20,,PGC26580,,
IC2464,140.842781,22.630224,15.40,0.41,1.11,160,,PGC26585,,
NGC2887,140.850389,-63.812545,12.51,1.64,1.39,85,,PGC26592,,
NGC2865,140.875854,-23.161492,11.43,1.36,1.28,150,,PGC26601,,
NGC2863,140.902386,-10.433755,13.40,0.69,1.14,0,,PGC26609,,
NGC2861,140.902081,2.136474,13.06,0.71,1.09,5,,PGC26607,,
IC2466,140.937628,24.518428,15.50,0.63,1.09,105,,PGC26629,,
NGC2854,141.013517,49.204295,13.82,0.71,1.39,55,,PGC26631,,
NGC2864,141.064143,5.941180,14.80,0.38,1.35,170,,PGC26644,,
NGC2856,141.066731,49.249188,14.10,1.00,2.27,130,,PGC26648,,
NGC2859,141.077194,34.513489,11.80,4.07,1.15,85,,PGC26649,,
NGC2857,141.157221,49.357072,12.27,0.82,1.04,175,,PGC26666,,
IC536,141.167120,25.110181,15.30,0.96,3.57,25,,PGC26669,,
NGC2860,141.221709,41.060211,14.80,0.57,1.28,85,,PGC26685,,
NGC2862,141.229604,26.774661,13.80,1.92,4.55,115,,PGC26690,,
IC2471,141.300719,-6.829942,14.50,0.85,2.00,135,,PGC26707,,
NGC2876,141.307208,-6.716607,14.50,0.78,1.47,85,,PGC26710,,
NGC2883,141.323457,-34.103336,13.10,2.29,2.52,178,,PGC26708,PGC26713,
IC537,141.344251,-12.391642,14.00,0.65,1.32,0,,PGC26717,,
NGC2872,141.427212,11.432147,13.00,1.08,1.28,140,,PGC26733,,
NGC2877,141.445746,2.229118,14.70,0.46,1.32,140,,PGC26738,,
NGC2878,141.447722,2.089605,14.90,0.76,2.63,170,,PGC26739,,
NGC2874,141.447184,11.424613,13.50,1.75,3.13,45,,PGC26740,,
NGC2873,141.452045,11.454249,15.30,0.41,2.17,120,,PGC26742,,
NGC2875,141.447184,11.424613,13.50,1.75,3.13,45,,PGC26740,,
NGC2881,141.478059,-11.996210,14.00,0.73,1.85,145,,PGC26747,,
NGC2915,141.548050,-76.626319,12.68,2.04,1.85,136,,PGC26761,,
NGC2888,141.581959,-28.035138,13.28,0.86,1.22,160,,PGC26768,,
NGC2884,141.602221,-11.555684,13.40,1.16,2.08,170,,PGC26773,,
NGC2890,141.624290,-14.528680,15.00,0.54,1.61,75,,PGC26778,,
IC2472,141.640470,21.385013,15.50,0.49,1.32,10,,PGC26779,,
NGC2882,141.650513,7.954550,13.50,1.18,2.50,80,,PGC26781,,
NGC2891,141.735933,-24.782999,13.30,0.71,1.06,40,,PGC26794,,
IC2482,141.746807,-12.108866,13.00,1.20,1.43,145,,PGC26796,,
NGC2899,141.762583,-56.105861,12.40,2.00,,,,,,
NGC2889,141.802486,-11.643494,12.00,1.39,1.28,5,,PGC26806,,
IC538,141.827102,23.020059,16.25,0.63,1.35,70,,PGC26811,,
NGC2885,141.827102,23.020059,16.25,0.63,1.35,70,,PGC26811,,
IC2473,141.847977,30.440758,14.60,0.79,1.85,85,,PGC26817,,
IC2481,141.870020,3.929600,14.50,0.53,1.67,160,,PGC26826,,
IC2488,141.857000,-57.004000,7.00,15.00,,,,,,
IC2476,141.970121,29.985762,14.50,0.77,1.14,55,,PGC26854,,
NGC2870,141.973822,57.375389,13.83,1.18,2.94,120,,PGC26856,,
IC2475,141.976359,29.791822,15.70,0.63,2.78,105,,PGC26851,,
IC2478,142.003870,30.036969,15.60,0.37,1.39,160,,PGC26865,,
IC2479,142.017049,29.991459,15.50,0.41,1.93,150,,PGC26866,,
IC2480,142.074301,29.706054,14.65,0.31,1.14,15,,PGC26883,,
IC539,142.284302,-2.549137,14.30,0.62,1.35,130,,PGC26909,,
IC2483,142.357454,30.994723,15.70,0.43,1.31,110,,PGC26928,,
NGC2894,142.375982,7.718824,13.40,1.07,1.56,35,,PGC26932,,
NGC2880,142.394041,62.490561,12.60,1.47,1.56,140,,PGC26939,,
NGC2897,142.440532,2.206919,15.52,0.59,1.72,170,,PGC26949,,
NGC2898,142.443089,2.064360,14.80,0.69,1.52,115,,PGC26950,,
IC2487,142.538235,20.090868,14.20,1.35,3.85,165,,PGC26966,,
IC540,142.542754,7.902528,14.80,0.89,3.33,170,,PGC26968,,
NGC2900,142.563554,4.144519,14.60,0.61,2.38,65,,PGC26974,,
NGC2904,142.570888,-30.385032,13.69,1.04,1.67,95,,PGC26981,,
NGC2896,142.570677,23.663045,14.80,0.48,1.09,10,,PGC26985,,
NGC2893,142.570643,29.539971,13.11,0.67,1.56,165,,PGC26979,,
IC2486,142.572366,26.641255,15.10,0.61,1.67,155,,PGC26982,,
NGC2910,142.643000,-52.913000,7.20,5.00,,,,,,
NGC2902,142.720406,-14.735721,13.10,0.90,1.06,170,,PGC27004,,
IC542,142.775916,-13.181257,15.00,0.75,2.63,95,,PGC27012,,
IC543,142.720406,-14.735721,13.10,0.90,1.06,170,,PGC27004,,
NGC2907,142.902563,-16.734710,12.06,1.50,1.61,115,,PGC27048,,
NGC2906,143.025928,8.441802,13.10,1.26,1.78,75,,PGC27074,,
NGC2903,143.042129,21.500831,9.07,11.48,2.19,23,,PGC27077,,
NGC2905,143.042129,21.500831,9.07,11.48,2.19,23,,PGC27077,,
NGC2895,143.104393,57.482890,14.70,0.65,1.14,120,,PGC27092,,
NGC2892,143.220549,67.617399,14.40,0.89,1.09,155,,PGC27111,,
IC2490,143.265201,29.928342,14.70,0.57,1.39,175,,PGC27121,,
NGC2925,143.321000,-53.413000,8.30,12.00,,,,,,
NGC2911,143.442114,10.152450,13.83,1.18,1.22,130,,PGC27159,,
NGC2912,143.463631,10.159368,,0.43,1.13,118,,PGC27167,,
NGC2914,143.511607,10.108717,13.70,0.84,1.92,10,,PGC27185,,
