id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
gam02 Vol,107.186940,-70.498930,3.75,K0III,HD55865,HIP34481,
A Pup,107.212784,-39.655655,4.83,B3IV/V,HD54893,HIP34495,
17 Lyn,107.407388,60.792090,6.64,K0,HD53633,HIP34572,
20 Mon,107.557006,-4.237107,4.92,K0III,HD54810,HIP34622,
46 tau Gem,107.784876,30.245164,4.42,K2III,HD54719,HIP34693,
47 Gem,107.846114,26.856589,5.75,A4IV,HD54801,HIP34722,
21 Mon,107.848399,-0.301929,5.43,F2IV,HD55057,HIP34724,
63 Aur,107.913861,39.320550,4.89,K4III,HD54716,HIP34752,
22 del Mon,107.966087,-0.492770,4.15,A0IV,HD55185,HIP34769,
26 CMa,108.050895,-25.942588,5.90,B2IV/V,HD55522,HIP34798,
E Pup,108.065863,-40.498821,5.31,A1/2V:+ApSrEu,HD55719,HIP34802,
48 Gem,108.109901,24.128594,5.85,F5III-IV,HD55052,HIP34819,
I Pup,108.140105,-46.759305,4.49,F3VFe-1.0,HD55892,HIP34834,
49 Gem,108.205727,25.748698,7.05,A0,HD55156,HIP34861,
L01 Pup,108.305628,-45.182738,4.87,B9V,HD56022,HIP34899,
51 Gem,108.342816,16.158964,5.00,M4III,HD55383,HIP34909,
L02 Pup,108.384661,-44.639709,5.10,M5IIIe,HD56096,HIP34922,
27 CMa,108.563383,-26.352509,4.65,B4Ve_sh,HD56014,HIP34981,
52 Gem,108.674909,24.884984,5.82,M1III,HD55621,HIP35025,
28 ome CMa,108.702724,-26.772669,3.82,B2.5Ve,HD56139,HIP35037,
24 Mon,108.830863,-0.161285,6.42,K0III,HD56003,HIP35080,
18 Lyn,108.978765,59.637466,5.20,K2III,HD55280,HIP35146,
53 Gem,108.988196,27.897421,5.71,M1III,HD55870,HIP35152,
145 CMa,109.153477,-23.315594,4.79,K3Ib-,HD56577,HIP35210,
del Vol,109.207599,-67.957152,3.99,F8Ib/II,HD57623,HIP35228,
pi. Pup,109.285653,-37.097471,2.70,K4III,HD56855,HIP35264,
64 Aur,109.509227,40.883394,5.87,A5Vn,HD56221,HIP35341,
M Pup,109.517706,-43.986786,5.84,B8II/III,HD57197,HIP35347,
54 lam Gem,109.523245,16.540386,3.56,A4IV,HD56537,HIP35350,
v01 Pup,109.576639,-36.733954,4.67,B2V+B3IVne,HD57150,HIP35363,
F Pup,109.639635,-39.210284,5.24,A0V,HD57240,HIP35393,
v02 Pup,109.659106,-36.742737,5.11,B3Vne,HD57219,HIP35406,
29 UW CMa,109.668246,-24.558700,4.95,O7Iafpvar,HD57060,HIP35412,
30 tau CMa,109.677027,-24.954373,4.40,O9II,HD57061,HIP35415,
R CMa,109.867411,-16.395249,5.70,F2III/IV,HD57167,HIP35487,
55 del Gem,110.030727,21.982304,3.53,F2VkF0mF0,HD56986,HIP35550,Wasat
56 Gem,110.486924,20.443658,5.08,M0III,HD57423,HIP35699,
65 Aur,110.510907,36.760584,5.12,G8III,HD57264,HIP35710,
20 Lyn,110.556715,50.147704,7.64,A6V,HD57066,HIP35726,
47 Cam,110.571603,59.901997,6.35,A8m,HD56820,HIP35735,
19 Lyn,110.711873,55.284319,6.72,B9V,HD57102,HIP35783,
19 Lyn,110.716910,55.281394,5.78,B8V,HD57103,HIP35785,
58 Gem,110.867237,22.945348,6.17,A1V,HD57744,HIP35842,
57 A Gem,110.868797,25.050531,5.02,G8III,HD57727,HIP35846,
31 eta CMa,111.023760,-29.303106,2.45,B5Ia,HD58350,HIP35904,Aludra
66 Aur,111.035281,40.672389,5.19,K0.5IIIa,HD57669,HIP35907,
59 Gem,111.139388,27.637856,5.76,F0:III:,HD57927,HIP35941,
1 CMi,111.242417,11.669523,5.36,A5IV,HD58187,HIP35987,
eps Men,111.408745,-79.094191,5.52,K2/3III,HD60816,HIP36039,
2 eps CMi,111.412082,9.276090,4.99,G6IIb,HD58367,HIP36041,
60 iot Gem,111.431649,27.798080,3.79,G9IIIb,HD58207,HIP36046,Propus
21 Lyn,111.678551,49.211527,4.61,A0.5Vs,HD58142,HIP36145,
61 Gem,111.734702,20.257555,5.93,F2Vn,HD58579,HIP36156,
3 bet CMi,111.787674,8.289316,2.89,B8Ve,HD58715,HIP36188,Gomeisa
63 Gem,111.934822,21.445279,5.24,F3V,HD58728,HIP36238,
5 eta CMi,112.008645,6.941971,5.22,F0III,HD58923,HIP36265,
4 gam CMi,112.040810,8.925524,4.30,K3-IIIFe-0.5,HD58972,HIP36284,
y Pup,112.273730,-38.812067,5.39,B3V,HD59635,HIP36363,
62 rho Gem,112.277995,31.784549,4.18,F1V,HD58946,HIP36366,
sig Pup,112.307636,-43.301435,3.25,K5III,HD59717,HIP36377,
64 Gem,112.335170,28.118276,5.06,A4V,HD59037,HIP36393,
6 CMi,112.449091,12.006565,4.53,K1III,HD59294,HIP36425,
65 b Gem,112.453175,27.916120,5.01,K2III,HD59148,HIP36429,
22 Lyn,112.483155,49.672459,5.36,F6V,HD58855,HIP36439,
U Mon,112.697797,-9.776877,5.82,G8/K0Ib/II,HD59693,HIP36521,
VZ Cam,112.768616,82.411467,4.96,M4IIIa,HD55966,HIP36547,
7 del01 CMi,113.024787,1.914480,5.23,F0V,HD59881,HIP36641,
8 del02 CMi,113.298607,3.290379,5.57,F1III-IV,HD60111,HIP36723,
68 Gem,113.402007,15.826661,5.26,A1Vp,HD60107,HIP36760,
z Pup,113.462673,-36.338392,5.44,B2Vne,HD60606,HIP36778,
9 del03 CMi,113.566219,3.371724,5.82,B9V,HD60357,HIP36812,
n Pup,113.577574,-23.473665,5.77,F5V,HD60584,HIP36817,
n Pup,113.580238,-23.474897,5.79,F6V,HD60585,,
66 alf Gem,113.650419,31.888492,3.00,kA0hA2:mA1IVs,HD60178,,Castor
66 alf Gem,113.649428,31.888276,1.90,A1.5IV+,HD60179,HIP36850,Castor
p Pup,113.845382,-28.369335,4.63,B7V,HD60863,HIP36917,
Q Car,113.915510,-52.533836,4.92,K3III,HD61248,HIP36942,
69 ups Gem,113.980625,26.895744,4.06,M0III,HD60522,HIP36962,
y02 Pup,114.183000,-48.830166,5.68,B8V,HD61391,HIP37043,
25 Mon,114.319546,-4.110982,5.13,F6III,HD61064,HIP37088,
f Pup,114.342124,-34.968531,4.53,B8IV/V,HD61330,HIP37096,
m Pup,114.575191,-25.364806,4.67,B8III,HD61429,HIP37173,
y03 Pup,114.575868,-48.601435,5.66,F7Ib/II,HD61715,HIP37174,
70 Gem,114.636933,35.048550,5.57,G8III,HD60986,HIP37204,
e Pup,114.682911,-36.496833,5.80,B3III,HD61641,HIP37223,
kap01 Pup,114.705730,-26.801757,4.50,B6V,HD61555,HIP37229,Markeb
kap02 Pup,114.707795,-26.803847,4.43,B5IV,HD61556,,
71 omi Gem,114.791394,34.584306,4.90,F5-6IV,HD61110,HIP37265,
10 alf CMi,114.825498,5.224988,0.37,F5IV-V+DQZ,HD61421,HIP37279,Procyon
d01 Pup,114.863911,-38.308023,4.84,B3V,HD61831,HIP37297,
74 f Gem,114.869139,17.674522,5.05,K5.5III,HD61338,HIP37300,
d02 Pup,114.932565,-38.139298,5.77,B5V,HD61878,HIP37322,
d03 Pup,114.949479,-38.260652,5.75,B3III,HD61899,HIP37329,
d04 Pup,114.991630,-37.579424,6.00,B5IV,HD61925,HIP37345,
140 Pup,115.096710,-15.263920,4.95,K3III,HD61772,HIP37379,
23 Lyn,115.206453,57.082828,6.08,K5III,HD61106,HIP37406,
26 alf Mon,115.311800,-9.551133,3.93,G9.5III-IIIbFe-0.5,HD61935,HIP37447,
zet Vol,115.455246,-72.606099,3.94,G9IIIb,HD63295,HIP37504,
24 Lyn,115.751733,58.710359,4.95,A3IVn,HD61497,HIP37609,
75 sig Gem,115.828032,28.883509,4.29,K1IIIe,HD62044,HIP37629,
1 Pup,115.884945,-28.410886,4.59,K5III,HD62576,HIP37648,
W Pup,115.924704,-40.933746,5.17,K1III,HD62713,HIP37664,
3 l Pup,115.951953,-28.954826,3.93,A4Iabe,HD62623,HIP37677,
76 c Gem,116.028812,25.784160,5.29,K4.5III,HD62285,HIP37704,
77 kap Gem,116.111890,24.397996,3.57,G8III-IIIb,HD62345,HIP37740,
79 Gem,116.288890,20.316048,6.54,A1V,HD62510,HIP37811,
c Pup,116.313735,-37.968583,3.61,K4III,HD63032,HIP37819,
78 bet Gem,116.328958,28.026199,1.14,K0IIIb,HD62509,HIP37826,Pollux
2 Pup,116.369737,-14.686163,6.93,A0/1V,HD62863,HIP37842,
2 Pup,116.371397,-14.690535,6.00,A5/8,HD62864,HIP37843,
171 Pup,116.395505,-34.172552,5.36,F9V,HD63077,HIP37853,
4 Pup,116.486957,-14.563805,5.03,F2V,HD62952,HIP37891,
81 g Gem,116.531035,18.509998,4.87,K4III,HD62721,HIP37908,
11 CMi,116.567505,10.768252,5.24,A1Vnn,HD62832,HIP37921,
49 Cam,116.614228,62.830523,6.46,A7VpSrCrEuSiKsn,HD62140,HIP37934,
51 Cam,116.666992,65.455674,5.92,K2III:,HD62066,HIP37949,
80 pi. Gem,116.876349,33.415697,5.14,M0III,HD62898,HIP38016,
5 Pup,116.986329,-12.192708,5.48,F5.5V,HD63336,HIP38048,
omi Pup,117.021535,-25.937170,4.49,B1IVe,HD63462,HIP38070,
Q Pup,117.083999,-47.077724,4.71,K0IIIb,HD63744,HIP38089,
82 Gem,117.140163,23.140979,6.21,K0III+A0IV:,HD63208,HIP38106,
188 Pup,117.256974,-24.912247,5.31,G1.5IIIFe-0.5,HD63660,HIP38146,
P Pup,117.309573,-46.373200,4.11,B0III,HD63922,HIP38164,
7 ksi Pup,117.323565,-24.859786,3.30,G6Ib,HD63700,HIP38170,Azmidiske
6 Pup,117.421673,-17.228408,5.16,K3III,HD63697,HIP38211,
8 Pup,117.920346,-12.819403,6.36,F3IV,HD64077,HIP38372,
13 zet CMi,117.924953,1.766868,5.16,B8II,HD63975,HIP38373,
9 Pup,117.942929,-13.898032,5.17,G0V,HD64096,HIP38382,
a Pup,118.054299,-40.575782,3.70,K1/2II+A,HD64440,HIP38414,
212 Pup,118.065258,-34.705441,5.01,F5VFe-0.5,HD64379,HIP38423,
10 Pup,118.078662,-14.846178,5.69,F1Ia,HD64238,HIP38427,
b Pup,118.161028,-38.862814,4.47,B2V,HD64503,HIP38455,
J Pup,118.325658,-48.102934,4.24,B0.5Ib,HD64760,HIP38518,
83 phi Gem,118.374201,26.765781,4.96,A5IV,HD64145,HIP38538,
25 Lyn,118.621931,47.385977,6.25,K2III:,HD64106,HIP38623,
26 Lyn,118.677909,47.564593,5.45,K4III,HD64144,HIP38639,
85 Gem,118.916227,19.883967,5.37,A0Vs,HD64648,HIP38722,
chi Car,119.194667,-52.982345,3.43,B3IV,HD65575,HIP38827,
11 j Pup,119.214746,-22.880121,4.18,F7II,HD65228,HIP38835,
1 Cnc,119.247719,15.790278,5.78,K3-III,HD64960,HIP38848,
N Pup,119.326754,-44.109860,5.06,B2III/IV,HD65551,HIP38872,
chi Pup,119.417109,-30.334571,4.79,A7III,HD65456,HIP38901,
O Pup,119.465496,-45.577669,5.12,K2III,HD65685,HIP38917,
V Pup,119.560161,-49.244915,4.41,B1Vp+B2:,HD65818,HIP38957,
14 CMi,119.586090,2.224768,5.29,G8IIIb,HD65345,HIP38962,
12 Pup,119.773813,-23.310397,5.11,G9IIa,HD65699,HIP39023,
27 Mon,119.933971,-3.679586,4.93,K1III,HD65695,HIP39079,
D Car,120.083195,-63.567456,4.81,B4V,HD66591,HIP39138,
3 Cnc,120.197115,17.308701,5.59,K3III,HD65759,HIP39177,
2 ome Cnc,120.232804,25.392837,5.85,G8III,HD65714,HIP39191,
28 Mon,120.305566,-1.392609,4.68,K4III,HD65953,HIP39211,
5 Cnc,120.376201,16.455311,5.99,B9.5Vn,HD65873,HIP39236,
53 Cam,120.426835,60.324391,6.01,A3VpSrSiCrEu,HD65339,HIP39261,
4 Cnc,120.432320,25.089466,6.30,A1V,HD65856,HIP39263,
G CMi,120.566404,2.334572,4.38,K2IIIbFe-0.5:,HD66141,HIP39311,
54 Cam,120.649097,57.273626,6.49,F9IV+G5IV,HD65626,HIP39348,
chi Gem,120.879582,27.794351,4.94,K1-IIIb,HD66216,HIP39424,
zet Pup,120.896031,-40.003148,2.25,O4I(n)fp,HD66811,HIP39429,Naos
14 Pup,121.172574,-19.728151,6.11,B3III,HD66834,HIP39524,
8 Cnc,121.268704,13.118217,5.14,A1V,HD66664,HIP39567,
9 Cnc,121.576648,22.635488,5.99,M3III,HD66875,HIP39659,
28 Lyn,121.791455,43.260359,6.35,A1V,HD66824,HIP39722,
15 rho Pup,121.886037,-24.304324,2.81,F5IIkF2IImF5II,HD67523,HIP39757,
10 mu. Cnc,121.941068,21.581813,5.30,G1IVb,HD67228,HIP39780,
eps Vol,121.982477,-68.617065,4.40,B5III,HD68520,HIP39794,
27 Lyn,122.114379,51.506665,4.80,A2V,HD67006,HIP39847,
29 zet Mon,122.148528,-2.983788,4.33,G2Ib,HD67594,HIP39863,
12 Cnc,122.176857,13.640919,6.24,F3V,HD67483,HIP39874,
B Car,122.252654,-61.302374,4.74,F6VFe-0.8CH-0.4,HD68456,HIP39903,
16 Pup,122.256823,-19.245014,4.39,B5V,HD67797,HIP39906,
gam01 Vel,122.372156,-47.345282,4.17,B2III,HD68243,,
gam02 Vel,122.383126,-47.336586,1.83,WC8+O7.5III-V,HD68273,HIP39953,Suhail
13 psi01 Cnc,122.554611,25.844480,6.41,K0,HD67690,HIP40007,
14 psi Cnc,122.613254,25.507334,5.73,G7V,HD67767,HIP40023,
18 Pup,122.665940,-13.799206,5.54,F6.5V,HD68146,HIP40035,
19 Pup,122.817939,-12.926999,4.72,G8.5IIIb,HD68290,HIP40084,
h01 Pup,122.839556,-39.618544,4.42,K4.5Ib,HD68553,HIP40091,
AH Vel,122.999861,-46.644350,5.76,F7Ib/II,HD68808,HIP40155,
16 zet01 Cnc,123.053002,17.647641,5.31,,HD68257,HIP40167,Tegmine
16 zet02 Cnc,123.054998,17.648491,5.79,G0IV-V,HD68256,HIP40167,
55 Cam,123.203284,68.474073,5.33,G7IIb,HD67447,HIP40215,
15 Cnc,123.286950,29.656538,5.61,B8VpSi,HD68351,HIP40240,
20 Pup,123.333196,-15.788225,4.99,G4Ib-II,HD68752,HIP40259,
r Pup,123.372988,-35.899518,4.77,B1V,HD68980,HIP40274,
16 Vel,123.392695,-50.196075,5.51,M1III,HD69194,HIP40282,
h02 Pup,123.512206,-40.347867,4.44,K1II/III,HD69142,HIP40326,
C Car,123.816344,-62.915641,5.26,A2V,HD69863,HIP40429,
56 Cam,123.960422,60.380600,6.48,A7Vm,HD68457,HIP40474,
17 bet Cnc,124.128837,9.185544,3.52,K4IIIBa0.5:,HD69267,HIP40526, Al Tarf
R Cnc,124.140945,11.726241,8.64,M6.5-9e,HD69243,,
21 Pup,124.346382,-16.285113,6.31,A1V,HD69665,HIP40604,
29 Lyn,124.460058,59.571134,5.63,A7IV,HD68930,HIP40646,
alf Cha,124.631469,-76.919724,4.05,F5VFe-0.8,HD71243,HIP40702,
q Pup,124.638804,-36.659289,4.40,A8V,HD70060,HIP40706,
57 Cam,124.821500,62.507156,5.72,G8III,HD69148,HIP40772,
kap01 Vol,124.954018,-71.514909,5.32,B9III/IV,HD71046,HIP40817,
kap02 Vol,125.002198,-71.505378,5.61,B9/A0IV,HD71066,HIP40834,
18 chi Cnc,125.016087,27.217705,5.14,F6V,HD69897,HIP40843,
30 Lyn,125.108583,57.743280,5.88,F4V,HD69548,HIP40875,
19 lam Cnc,125.133901,24.022311,5.93,B9.5V,HD70011,HIP40881,
tet Cha,125.160580,-77.484479,4.34,K2IIIbCN0.5,HD71701,HIP40888,
w Pup,125.345942,-33.054365,4.80,K2+IIIa,HD70555,HIP40945,
eta Vol,125.518548,-73.399979,5.28,A0/1IV/V,HD71576,HIP41003,
eps Car,125.628474,-59.509481,2.01,K3:III,HD71129,HIP41037,Avior
B Vel,125.632059,-48.490379,4.82,B2III,HD70930,HIP41039,
22 Pup,125.695197,-13.054793,6.11,K0III,HD70673,HIP41067,
31 Lyn,125.708792,43.188131,4.25,K4+III,HD70272,HIP41075,Alsciaukat
20 d01 Cnc,125.841012,18.332162,5.94,A9V,HD70569,HIP41117,
21 Cnc,125.980035,10.632060,6.08,M2III,HD70734,HIP41163,
1 Hya,126.145892,-3.751242,5.61,F6V,HD70958,HIP41211,
C Hya,126.415133,-3.906427,3.90,A0Va,HD71155,HIP41307,
bet Vol,126.434146,-66.136888,3.76,K2III,HD71878,HIP41312,
25 d02 Cnc,126.457822,17.046270,6.14,F5IIIm?,HD71030,HIP41319,
2 Hya,126.613358,-3.987430,5.59,F0VmA6,HD71297,HIP41375,
22 phi01 Cnc,126.615442,27.893581,5.57,K5III,HD71093,HIP41377,
24 Cnc,126.665796,24.534173,6.89,F0V,HD71152,HIP41389,
24 Cnc,126.667139,24.535170,7.47,F7V,HD71153,,
27 Cnc,126.683080,12.654609,5.50,M3IIIa,HD71250,HIP41400,
23 phi02 Cnc,126.695139,26.934352,6.19,A2Vp,HD71150,HIP41404,
23 phi02 Cnc,126.696129,26.935489,6.13,A5IV,HD71151,,
F Vel,126.902441,-53.088479,5.07,A9/F0III/IV,HD71935,HIP41483,
28 Cnc,127.153272,24.144922,6.05,F0Vn,HD71496,HIP41574,
29 Cnc,127.155581,14.210824,5.95,A5V,HD71555,HIP41578,
A Vel,127.269800,-47.928922,5.33,B1.5V+B4V,HD72108,HIP41616,
1 omi UMa,127.566126,60.718168,3.42,G5III:,HD71369,HIP41704,Muscida
30 ups01 Cnc,127.877164,24.081108,5.69,F0IIIn,HD72041,HIP41816,
31 tet Cnc,127.898875,18.094418,5.34,K5III,HD72094,HIP41822,
34 Cnc,128.166127,10.066008,6.47,A1V,HD72359,HIP41904,
33 eta Cnc,128.177068,20.441162,5.33,K3III,HD72292,HIP41909,
32 ups02 Cnc,128.250434,24.084794,6.34,G9III,HD72324,HIP41940,
32 Lyn,128.340540,36.436432,6.19,F5Vbwv,HD72291,HIP41975,
2 A UMa,128.650750,65.145113,5.45,A2m,HD72037,HIP42080,
C Vel,128.681652,-49.944202,5.01,K1.5Ib,HD73155,HIP42088,
33 Lyn,128.682853,36.419620,5.75,A2Vnn,HD72524,HIP42090,
e01 Car,128.814814,-58.224739,5.23,B4V,HD73390,HIP42129,
35 Cnc,128.831026,19.590064,6.56,G0III,HD72779,HIP42133,
e02 Car,128.832105,-58.009237,4.85,K0III,HD73389,HIP42134,
3 Hya,128.867495,-7.982294,5.72,A1VpSrCr,HD72968,HIP42146,
E Vel,128.966781,-50.969647,5.78,ApSi,HD73340,HIP42177,
36 c Cnc,129.274037,9.655578,5.91,A3V,HD73143,HIP42265,
e Vel,129.410970,-42.989080,4.14,A7Ia,HD73634,HIP42312,
4 del Hya,129.414031,5.703788,4.13,A0Vnn,HD73262,HIP42313,
eta Pyx,129.467303,-26.255000,5.27,A0V,HD73495,HIP42334,
37 Cnc,129.521547,9.574611,6.53,A1V,HD73316,HIP42353,
5 sig Hya,129.689323,3.341436,4.43,K1III,HD73471,HIP42402,Minchir
tet Vol,129.771506,-70.386744,5.20,A0V,HD74405,HIP42425,
3 pi.01 UMa,129.798769,65.020906,5.64,G0.5V,HD72905,HIP42438,
zet Pyx,129.926975,-29.561085,4.87,G6IIIbCN-0.5,HD73898,HIP42483,
38 Cnc,129.927726,19.778454,6.66,F0IV,HD73575,HIP42485,
6 a Hya,130.006131,-12.475375,4.97,K3III,HD73840,HIP42509,
bet Pyx,130.025598,-35.308351,3.95,G5II/III,HD74006,HIP42515,
39 Cnc,130.026743,20.007787,6.39,G8+III-IIIb,HD73665,HIP42516,
40 Cnc,130.047719,19.971134,6.61,A1V,HD73666,HIP42523,
4 pi.02 UMa,130.053405,64.327936,4.61,K1+III,HD73108,HIP42527,
omi Vel,130.073273,-52.921889,3.63,B3/5(V),HD74195,HIP42536,
41 eps Cnc,130.112542,19.544812,6.29,A5m,HD73731,HIP42556,Praesepe
d Car,130.154282,-59.761002,4.31,B2III,HD74375,HIP42568,
b Vel,130.156542,-46.648744,3.81,F0Ia,HD74180,HIP42570,
42 Cnc,130.180023,19.719315,6.84,A7III,HD73785,HIP42578,
34 Lyn,130.254458,45.834006,5.36,G8IV,HD73593,HIP42604,
n Vel,130.304704,-47.317130,4.77,A5II,HD74272,HIP42624,
eta Cha,130.331302,-78.963363,5.45,B8V,HD75416,HIP42637,
9 Hya,130.430567,-15.943385,4.87,K0IIIb,HD74137,HIP42662,
9 Cha,130.800827,-79.070102,6.07,A7V,HD75747,HIP42794,
45 A01 Cnc,130.801373,12.680874,5.65,A3III:+G7III,HD74228,HIP42795,
7 eta Hya,130.806146,3.398663,4.30,B3V,HD74280,HIP42799,
43 gam Cnc,130.821446,21.468499,4.65,A1IV,HD74198,HIP42806,Asellus Borealis
alf Pyx,130.898073,-33.186386,3.68,B1.5III,HD74575,HIP42828,
D Vel,130.917804,-49.822801,5.16,B1/2II/III(n),HD74753,HIP42834,
F Hya,130.918223,-7.233731,4.62,G1Ib,HD74395,HIP42835,
d Vel,131.099779,-42.649277,4.05,G6III,HD74772,HIP42884,
47 del Cnc,131.171247,18.154308,3.94,K0+IIIb,HD74442,HIP42911,Asellus Australis
del Vel,131.175943,-54.708821,1.96,A2IV+A4V,HD74956,HIP42913,
49 b Cnc,131.187649,10.081669,5.66,A1VpHgMnSiEu,HD74521,HIP42917,
10 Hya,131.255339,5.680585,6.13,A6V,HD74591,HIP42931,
46 Cnc,131.339266,30.697750,6.12,G5III,HD74485,HIP42954,
a Vel,131.506850,-46.041529,3.91,A0II,HD75063,HIP43023,
12 D Hya,131.593935,-13.547724,4.32,G8IIIbCN-1,HD74918,HIP43067,
48 iot Cnc,131.666583,28.765059,6.57,A2V,HD74738,HIP43100,
48 iot Cnc,131.674252,28.759893,4.02,G8IIIaBa0.2,HD74739,HIP43103,
f Car,131.677289,-56.769776,4.49,B3V(n),HD75311,HIP43105,
11 eps Hya,131.693801,6.418802,3.38,G1III+A8V,HD74874,HIP43109,
50 A02 Cnc,131.733412,12.109953,5.88,A1Vp,HD74873,HIP43121,
13 rho Hya,132.108211,5.837812,4.34,A0Vn,HD75137,HIP43234,
14 Hya,132.340524,-3.443025,5.31,B8IIIpHgMn,HD75333,HIP43305,
h Vel,132.413162,-40.320158,5.46,A2/3IV,HD75630,HIP43325,
g Vel,132.448493,-45.307874,4.93,A2III,HD75710,HIP43347,
gam Pyx,132.633011,-27.709842,4.01,K2.5III,HD75691,HIP43409,
f Vel,132.639419,-46.529188,5.11,B1Ib,HD75821,HIP43413,
54 Cnc,132.756102,15.350657,6.36,G1V,HD75528,HIP43454,
52 Cnc,132.795025,15.999429,7.37,G5,HD75558,HIP43463,
15 Hya,132.893374,-7.177224,5.54,A2/3V,HD75737,HIP43496,
35 Lyn,132.986794,43.726604,5.15,K0III,HD75506,HIP43531,
53 Cnc,133.119125,28.259158,6.23,M3III,HD75716,HIP43575,
51 sig01 Cnc,133.144258,32.474159,5.66,A8Vam,HD75698,HIP43584,
55 rho01 Cnc,133.149213,28.330821,5.95,K0IV-V,HD75732,HIP43587,
5 b UMa,133.343991,61.962266,5.74,F2III,HD75486,HIP43644,
57 Cnc,133.561386,30.579119,7.08,G7III,HD75959,HIP43721,
c Car,133.761867,-60.644610,3.80,B8/9II,HD76728,HIP43783,
X Cnc,133.845341,17.231273,6.40,C-N4.5,HD76221,HIP43811,
16 zet Hya,133.848442,5.945565,3.10,G8.5III,HD76294,HIP43813,
17 Hya,133.873365,-7.971152,6.70,kA4hF1mF2,HD76370,,
17 Hya,133.873435,-7.970020,6.91,kA1hF2mF3,HD76369,HIP43822,
del Pyx,133.881530,-27.681848,4.89,A3IV,HD76483,HIP43825,
58 rho02 Cnc,133.915335,27.927482,5.22,G8III,HD76219,HIP43834,
60 Cnc,133.981446,11.626025,5.44,K5III,HD76351,HIP43851,
H Vel,134.080263,-52.723474,4.72,B5/6IV,HD76805,HIP43878,
6 UMa,134.156022,64.603827,5.56,G7IIIb,HD75958,HIP43903,
zet Oct,134.170732,-85.663152,5.42,A8/9IV,HD79837,HIP43908,
59 sig02 Cnc,134.235824,32.910428,5.44,A7IV,HD76398,HIP43932,
b01 Car,134.243405,-59.229338,4.89,B2V,HD77002,HIP43937,
62 omi01 Cnc,134.312290,15.322767,5.22,A5III,HD76543,HIP43970,
63 omi02 Cnc,134.396665,15.581285,5.68,F0IV,HD76582,HIP44001,
61 Cnc,134.494447,30.233825,6.24,F4V,HD76572,HIP44031,
65 alf Cnc,134.621684,11.857680,4.25,kA7VmF0/2III/IVSr,HD76756,HIP44066,Acubens
9 iot UMa,134.801890,48.041826,3.14,A6,HD76644,HIP44127,Talitha
b02 Car,134.850757,-59.083712,5.16,F4V,HD77370,HIP44143,
64 sig03 Cnc,134.886061,32.418559,5.22,G9III,HD76813,HIP44154,
w Vel,135.022541,-41.253607,4.45,G8/K1III+A,HD77258,HIP44191,
10 UMa,135.159919,41.782946,3.96,F3V+G5V,HD76943,HIP44248,
66 Cnc,135.350541,32.252296,5.87,A2V,HD77104,HIP44307,
67 Cnc,135.453464,27.902601,6.07,A8Vn,HD77190,HIP44342,
alf Vol,135.611650,-66.396075,3.99,kA3hA5mA5V,HD78045,HIP44382,
8 rho UMa,135.636214,67.629617,4.76,M3IIICa1,HD76827,HIP44390,
69 nu. Cnc,135.684449,24.452887,5.45,A0III,HD77350,HIP44405,
12 kap UMa,135.906365,47.156525,3.55,A1Vn,HD77327,HIP44471,
c Vel,136.038665,-47.097735,3.75,K2III,HD78004,HIP44511,
70 Cnc,136.041113,27.898307,6.67,A1V,HD77557,HIP44512,
G Car,136.286721,-72.602707,4.47,F8II+DA,HD78791,HIP44599,
E Car,136.409897,-70.538498,4.65,B3III,HD78764,HIP44626,
18 ome Hya,136.493207,5.092326,4.98,K2II-III,HD77996,HIP44659,
76 kap Cnc,136.936706,10.668200,5.24,B8IIImnp,HD78316,HIP44798,
lam Vel,136.998991,-43.432591,2.21,K4Ib,HD78647,HIP44816,Alsuhail
72 tau Cnc,137.000209,29.654232,5.42,G8III,HD78235,HIP44818,
kap Pyx,137.011999,-25.858538,4.56,K4III,HD78541,HIP44824,
74 Cnc,137.034966,14.711396,7.34,K0,HD78347,HIP44838,
11 sig01 UMa,137.097915,66.873234,5.14,K5III,HD77800,HIP44857,
19 Hya,137.175754,-8.589533,5.61,B9V,HD78556,HIP44883,
75 Cnc,137.197213,26.629116,5.95,G5IV-V,HD78418,HIP44892,
15 f UMa,137.217737,51.604648,4.48,kA3VmF5IIISr,HD78209,HIP44901,
77 ksi Cnc,137.339755,22.045438,5.15,G8.5IIIFe-0.5CH-1,HD78515,HIP44946,
20 Hya,137.398207,-8.787648,5.46,K0II/III,HD78732,HIP44961,
eps Pyx,137.485040,-30.365400,5.59,A4IV,HD78922,HIP45001,
79 Cnc,137.586910,21.996417,6.01,G5III,HD78715,HIP45033,
13 sig02 UMa,137.598108,67.134018,4.80,F7V,HD78154,HIP45038,
RS Cnc,137.661654,30.963136,5.95,M6S,HD78712,HIP45058,
14 tau UMa,137.729342,63.513671,4.64,F6IIIn,HD78362,HIP45075,
14 tau UMa,137.729342,63.513671,4.64,F6IIIn,HD78363,,
a Car,137.742027,-58.966894,3.40,B2IV-V,HD79351,HIP45080,
i Car,137.819670,-62.316980,3.94,B3V,HD79447,HIP45101,
80 Cnc,137.987124,18.044116,6.86,A0,HD79009,HIP45153,
81 Cnc,138.073114,14.996049,6.51,G9V,HD79096,HIP45170,
21 Hya,138.108544,-7.109805,6.10,A0mA5/7-F0,HD79193,HIP45184,
